POD/p,ap obs 1,ap obs 5,ap obs 9,ap obs 13,ap obs 17
3.104020100502512536e-01,2.755197959783988737e-01,2.866191983635269502e-01,2.945504888075722860e-01,3.002179442186934666e-01,3.042677329716903523e-01
3.153266331658291510e-01,2.766126795285702711e-01,2.874001392247703124e-01,2.951085250490949607e-01,3.006166996972541861e-01,3.045526713320526047e-01
3.202512562814070485e-01,2.776983053480931996e-01,2.881758939356480753e-01,2.956628554275981813e-01,3.010128070804550804e-01,3.048357174451844509e-01
3.251758793969849459e-01,2.787769736128675180e-01,2.889466769925955747e-01,2.962136332156159457e-01,3.014063758921192715e-01,3.051169495734303294e-01
3.301005025125628434e-01,2.798489735365662923e-01,2.897126950587792238e-01,2.967610060882697742e-01,3.017975116563317295e-01,3.053964431210450248e-01
3.350251256281407408e-01,2.809145840529648774e-01,2.904741474516675526e-01,2.973051164716722927e-01,3.021863161463976821e-01,3.056742708120920304e-01
3.399497487437186383e-01,2.819740744516853193e-01,2.912312265973149294e-01,2.978461018675441219e-01,3.025728876168036208e-01,3.059505028561955720e-01
3.448743718592964802e-01,2.830277049713788018e-01,2.919841184542311674e-01,2.983840951560980947e-01,3.029573210196493394e-01,3.062252071031960621e-01
3.497989949748743777e-01,2.840757273539785688e-01,2.927330029094335484e-01,2.989192248790460416e-01,3.033397082068756134e-01,3.064984491876561190e-01
3.547236180904522751e-01,2.851183853633123544e-01,2.934780541490315531e-01,2.994516155044066319e-01,3.037201381194878369e-01,3.067702926640736294e-01
3.596482412060301725e-01,2.861559152710553278e-01,2.942194410054734255e-01,2.999813876746377783e-01,3.040986969648636351e-01,3.070407991335805664e-01
3.645728643216080700e-01,2.871885463127302196e-01,2.949573272833899695e-01,3.005086584394740523e-01,3.044754683831314979e-01,3.073100283628317775e-01
3.694974874371859674e-01,2.882165011162171608e-01,2.956918720657947253e-01,3.010335414747279392e-01,3.048505336035192692e-01,3.075780383957270048e-01
3.744221105527638649e-01,2.892399961050166057e-01,2.964232300022427435e-01,3.015561472881994054e-01,3.052239715914907836e-01,3.078448856585499493e-01
3.793467336683417068e-01,2.902592418783122019e-01,2.971515515804120655e-01,3.020765834137394967e-01,3.055958591874178287e-01,3.081106250590592288e-01
3.842713567839196043e-01,2.912744435697053325e-01,2.978769833824443936e-01,3.025949545944234820e-01,3.059662712374698335e-01,3.083753100800179503e-01
3.891959798994975017e-01,2.922858011863350702e-01,2.985996683272694741e-01,3.031113629557084521e-01,3.063352807173471137e-01,3.086389928676097072e-01
3.941206030150753992e-01,2.932935099299553428e-01,2.993197459000372929e-01,3.036259081693784556e-01,3.067029588494308845e-01,3.089017243151502834e-01
3.990452261306532966e-01,2.942977605014138187e-01,3.000373523696890365e-01,3.041386876090138580e-01,3.070693752138770050e-01,3.091635541424720968e-01
4.039698492462311941e-01,2.952987393898626745e-01,3.007526209956182250e-01,3.046497964976652706e-01,3.074345978541390689e-01,3.094245309713273828e-01
4.088944723618090915e-01,2.962966291479273151e-01,3.014656822242978151e-01,3.051593280483569925e-01,3.077986933773679268e-01,3.096847023971308066e-01
4.138190954773869334e-01,2.972916086539665326e-01,3.021766638766832935e-01,3.056673735979995588e-01,3.081617270501014194e-01,3.099441150573363779e-01
4.187437185929648309e-01,2.982838533624744826e-01,3.028856913271421036e-01,3.061740227352472421e-01,3.085237628896274065e-01,3.102028146967225064e-01
4.236683417085427283e-01,2.992735355435973688e-01,3.035928876746048499e-01,3.066793634227972798e-01,3.088848637513749718e-01,3.104608462298393268e-01
