POD/p,ap95 obs 1,ap95 obs 5,ap95 obs 9,ap95 obs 13,ap95 obs 17
8.915075376884422642e-01,4.324349131998790896e-01,4.038969328044754170e-01,3.831896315520637031e-01,3.679756586551384268e-01,3.567916602506463475e-01
8.964321608040201061e-01,4.347664105237288301e-01,4.056124411770680172e-01,3.844545225793556953e-01,3.689040036099899278e-01,3.574677655824282652e-01
9.013567839195980591e-01,4.371812011959144151e-01,4.073897970841904304e-01,3.857655198844360811e-01,3.698665993330879087e-01,3.581691200788369445e-01
9.062814070351759010e-01,4.396873720400148455e-01,4.092349955703982745e-01,3.871270862799975343e-01,3.708667595217537971e-01,3.588981689083040050e-01
9.112060301507538540e-01,4.422942620260879587e-01,4.111549604302037197e-01,3.885443763706332709e-01,3.719083118887280270e-01,3.596577368706503908e-01
9.161306532663316959e-01,4.450127394091829558e-01,4.131577498110278746e-01,3.900233897447938913e-01,3.729957120386527825e-01,3.604511125577241626e-01
9.210552763819095379e-01,4.478555607531433669e-01,4.152528225757896596e-01,3.915711694490016659e-01,3.741341910175303154e-01,3.612821574130170021e-01
9.259798994974874908e-01,4.508378428897410473e-01,4.174513884678971998e-01,3.931960629208307023e-01,3.753299493117607799e-01,3.621554491417175448e-01
9.309045226130653328e-01,4.539776935953563353e-01,4.197668760557611289e-01,3.949080707092303966e-01,3.765904161387241822e-01,3.630764734111014413e-01
9.358291457286432857e-01,4.572970701017604611e-01,4.222155697536068564e-01,3.967193212240949785e-01,3.779246024794984393e-01,3.640518848924796935e-01
